"Year","Group","Mean_Phosphorous","Mean_pH","Mean_Dissolved_O2","Mean_Total_N","Date"
"2016","Pre",0.03861875,7.80911602209945,5.25311111111111,0.55623125,2016-01-01
"2017","Pre",0.033521645021645,7.97866593886463,15.2908293838863,0.478761904761905,2017-01-01
"2018","Pre",0.0345081018518519,8.04090697674419,5.26517482517483,0.455456018518519,2018-01-01
"2019","Pre",0.039537216828479,7.98519434628975,6.5143816254417,0.342508090614887,2019-01-01
"2020","Pre",0.0417517730496454,8.00269503546099,7.6531914893617,0.485705673758865,2020-01-01
"2021","Post",0.0235705263157895,7.8966393442623,5.0980737704918,0.467613526570048,2021-01-01
"2021","Pre",0.0361372549019608,8.03224489795918,5.37081632653061,0.47021568627451,2021-01-01
"2022","Post",0.0132384615384615,8.04196078431372,5.26666666666667,0.418322222222222,2022-01-01
"2023","Post",0.0104037558685446,7.91354838709677,5.49770609318996,0.326410404624277,2023-01-01
"2024","Post",0.0104924901185771,7.77857594936709,6.88155063291139,0.396059523809524,2024-01-01
